City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
486,Saint-Georges,GD,82.4,12.06,-61.75,Radisson Grenada Beach Resort
487,San Quintin,MX,65.21,30.48,-115.95,Old Mill Hotel
488,Totness,SR,78.53,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
489,Denpasar,ID,84.2,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
490,Puerto Madero,MX,82.4,14.72,-92.42,Hotel Perla del Pacífico
491,Pacific Grove,US,62.6,36.62,-121.92,Lovers Point Inn
492,Balabac,PH,86.94,7.99,117.06,Sing and Swing Lodge
494,Tual,ID,79.95,-5.67,132.75,Grand Vilia Hotel
495,Guangyuan,CN,66.0,32.44,105.82,Guangyuan Poetry Hotel
496,Los Llanos De Aridane,ES,71.6,28.66,-17.92,Valle Aridane
497,Port Shepstone,ZA,61.77,-30.74,30.45,My Den Beachfront B&B And Self-Catering
498,Korla,CN,72.0,41.76,86.15,Gulisitan Hotel
499,Barao De Melgaco,BR,71.6,-16.19,-55.97,Tuiuiu Pantanal Hotel
501,Qandala,SO,89.17,11.47,49.87,
502,Letnyaya Stavka,RU,65.08,45.43,43.45,
506,Safaga,EG,88.41,26.73,33.94,Lamar Resort Abu Soma
507,Samarai,PG,80.55,-10.62,150.67,Nuli Sapi
508,Bolobo,CD,72.12,-2.17,16.23,
509,Pedro Betancourt,CU,80.6,22.73,-81.29,
510,Lashio,MM,78.03,22.93,97.75,Hotel CF Lashio - Burmese Only
511,Petropavlovsk-Kamchatskiy,RU,73.4,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
513,Cabinda,AO,72.37,-5.55,12.2,"Hotel Executivo , 3 estrelas"
514,Asarganj,IN,85.44,25.15,86.68,श्री पंचायती अखाड़ा बडा़ उदासीन निर्वाण
515,Paita,PE,66.31,-5.09,-81.11,Hotel Náutico de Paita
516,Zhigansk,RU,69.49,66.77,123.37,Gostinichnyy Kompleks Aylgy
517,Cabo San Lucas,MX,82.0,22.89,-109.91,Hotel Tesoro Los Cabos
518,Tevaitoa,PF,77.77,-16.78,-151.5,Hôtel Raiatea Lodge
519,Novotroitskaya,RU,64.4,45.33,41.53,"Gostevoy Dom ""Zastava"""
520,Tobermory,CA,68.0,45.25,-81.67,Escarpment Heights Motel
521,Batagay-Alyta,RU,83.28,67.8,130.41,
522,Alyangula,AU,80.6,-13.85,136.42,Groote Eylandt Lodge
523,Sabang,ID,80.96,5.89,95.32,Hotel Citra
527,Yumbe,UG,62.91,3.47,31.25,Praford Hotel
531,Muscle Shoals,US,75.99,34.74,-87.67,Microtel Inn & Suites by Wyndham Tuscumbia/Muscle Shoals
534,Simao,CN,73.33,22.79,100.97,Changyu Hotel
536,Marquette,US,70.0,46.53,-87.63,Al Quaal Lodge
538,Korcula,HR,68.0,42.96,17.14,Hotel Marko Polo
539,Bend,US,75.0,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
542,Tigil,RU,73.24,57.8,158.67,Tigil'
543,Salamiyah,SY,66.88,35.01,37.05,Gondolas Forum grandchildren and grandparents
544,Darhan,MN,66.49,49.49,105.92,Buudai Hotel
545,Ipixuna,BR,80.6,-1.76,-48.8,Casa da Oscarina
546,Riacho De Santana,BR,67.71,-13.61,-42.94,Nosso Hotel
549,Hantsport,CA,61.0,45.07,-64.17,The Flying Apron Inn & Cookery
550,Erzin,TR,69.01,36.96,36.2,Artemis Otel
551,Vallenar,CL,63.19,-28.57,-70.76,Humacao Bed & Breakfast
552,Terra Santa,BR,75.85,-2.1,-56.49,Igreja da paz
553,Wawa,NG,75.72,9.9,4.42,
555,Mananjary,MG,65.82,-21.22,48.33,Vahiny Lodge
560,Port-Gentil,GA,74.73,-0.72,8.78,Fengshui Residence
566,Vitim,RU,78.42,59.45,112.56,Gostinitsa V Apteke
567,Asosa,ET,64.51,10.07,34.53,Blendana Hotel Assosa
568,Morant Bay,JM,86.0,17.88,-76.41,Whispering Bamboo Cove Resort
