City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
71,Hilo,US,19.73,-155.09,80.6,57,90,10.29,moderate rain,2.29,0
72,Chokurdakh,RU,70.63,147.92,72.7,40,57,16.62,broken clouds,0.0,0
73,Hobart,AU,-42.88,147.33,55.99,93,75,12.75,light intensity shower rain,0.89,0
74,Dakar,SN,14.69,-17.44,80.6,83,0,4.7,clear sky,0.0,0
75,Coihaique,CL,-45.58,-72.07,37.4,93,98,2.24,overcast clouds,0.0,0
76,Hithadhoo,MV,-0.6,73.08,83.82,67,100,5.23,overcast clouds,0.0,0
77,Saldanha,ZA,-33.01,17.94,50.0,93,96,1.12,overcast clouds,0.0,0
78,Tuktoyaktuk,CA,69.45,-133.04,50.0,71,75,11.41,broken clouds,0.0,0
79,Hofn,IS,64.25,-15.21,49.12,93,100,12.44,moderate rain,1.62,0
80,Mataura,NZ,-46.19,168.86,48.36,57,0,1.12,clear sky,0.0,0
81,Victoria,HK,22.29,114.16,89.6,66,20,13.87,few clouds,0.0,0
82,Batemans Bay,AU,-35.72,150.18,63.0,42,2,1.34,clear sky,0.0,0
83,Plouzane,FR,48.38,-4.62,53.6,93,40,4.7,scattered clouds,0.0,0
84,Faya,SA,18.39,42.45,68.0,60,28,4.9,scattered clouds,0.0,0
85,Sitka,US,57.05,-135.33,53.6,71,90,13.87,overcast clouds,0.0,0
86,Portland,US,45.52,-122.68,73.99,46,1,8.05,clear sky,0.0,0
87,Souillac,MU,-20.52,57.52,69.8,83,40,11.41,shower rain,0.0,0
88,Kurilsk,RU,45.23,147.88,51.12,82,100,5.44,overcast clouds,0.0,0
89,Bonthe,SL,7.53,-12.51,77.81,87,100,4.27,light rain,0.26,0
90,Nemuro,JP,43.32,145.57,57.2,76,75,9.17,broken clouds,0.0,0
91,Upernavik,GL,72.79,-56.15,41.14,67,100,7.23,overcast clouds,0.0,0
92,Aklavik,CA,68.22,-135.01,60.8,55,75,6.93,broken clouds,0.0,0
93,Cockburn Town,TC,21.46,-71.14,82.89,83,2,19.77,clear sky,0.0,0
94,Pisco,PE,-13.7,-76.22,62.6,77,90,6.93,overcast clouds,0.0,0
95,Isangel,VU,-19.55,169.27,75.54,72,17,11.5,few clouds,0.0,0
96,Tinskoy,RU,56.15,96.92,58.55,81,91,4.63,overcast clouds,0.0,0
97,Villa Maria,AR,-32.41,-63.24,51.53,46,100,5.17,overcast clouds,0.0,0
98,Carnarvon,AU,-24.87,113.63,69.8,64,0,9.17,clear sky,0.0,0
99,Luan,CH,46.36,6.98,59.0,77,22,1.12,few clouds,0.0,0
100,Burgeo,CA,47.62,-57.62,47.97,84,98,10.8,overcast clouds,0.0,0
101,Corlu,TR,41.16,27.8,59.0,100,10,4.7,light rain,0.14,0
102,Karatuzskoye,RU,53.61,92.87,49.84,93,100,6.38,overcast clouds,0.0,0
103,Vardo,NO,70.37,31.11,45.03,85,66,13.18,broken clouds,0.0,0
104,Pozo Colorado,PY,-23.49,-58.8,79.2,51,90,5.32,overcast clouds,0.0,0
105,Port Hardy,CA,50.7,-127.42,59.0,67,75,4.7,broken clouds,0.0,0
106,Caravelas,BR,-17.71,-39.25,68.95,74,0,2.46,clear sky,0.0,0
107,Karla,EE,59.37,24.93,52.0,76,0,5.82,clear sky,0.0,0
108,Talnakh,RU,69.49,88.4,60.8,41,64,20.13,broken clouds,0.0,0
109,Hun,LY,29.13,15.95,67.98,57,0,5.93,clear sky,0.0,0
110,Strelice,CZ,49.15,16.5,62.01,82,20,4.7,few clouds,0.0,0
111,Alofi,NU,-19.06,-169.92,80.6,74,51,13.87,broken clouds,0.0,0
112,Touros,BR,-5.2,-35.46,73.4,88,40,4.7,scattered clouds,0.0,0
113,Ahipara,NZ,-35.17,173.17,63.77,75,54,8.55,light rain,0.11,0
114,Galesong,ID,-5.32,119.37,82.4,78,20,2.24,few clouds,0.0,0
115,Buraydah,SA,26.33,43.98,77.0,31,0,5.82,clear sky,0.0,0
116,Honiara,SB,-9.43,159.95,89.6,70,20,13.87,few clouds,0.0,0
117,Harpalpur,IN,25.29,79.33,89.87,47,21,2.62,few clouds,0.0,0
118,Nhlangano,SZ,-27.12,31.2,45.86,65,0,3.31,clear sky,0.0,0
119,Lagoa,PT,39.05,-27.98,66.0,86,0,19.77,clear sky,0.0,0
